City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alofi,-19.0595,-169.9187,28.94,74,75,6.17,NU,1683765696
83,aasiaat,68.7098,-52.8699,-6.38,84,14,2.3,GL,1683765696
84,susuman,62.7833,148.1667,6.32,64,41,4.5,RU,1683765697
85,prineville,44.2999,-120.8345,18.4,50,0,3.09,US,1683765697
86,kingston,17.997,-76.7936,29.53,70,20,8.75,JM,1683765572
87,hawick,55.4227,-2.7867,8.17,97,94,1.99,GB,1683765698
88,hithadhoo,-0.6,73.0833,28.16,78,96,6.46,MV,1683765698
89,bethel,41.3712,-73.414,16.47,51,5,0.45,US,1683765699
90,banda aceh,5.5577,95.3222,27.9,71,98,1.9,ID,1683765699
91,peachtree city,33.3968,-84.5958,26.86,67,0,2.06,US,1683765699
92,ushuaia,-54.8,-68.3,9.81,57,75,5.14,AR,1683765684
93,luebo,-5.35,21.4167,22.1,78,90,0.73,CD,1683765700
94,isafjordur,66.0755,-23.124,5.75,91,31,0.97,IS,1683765700
95,chabahar,25.2919,60.643,28.58,71,0,1.77,IR,1683765701
96,zaozersk,69.4005,32.4476,2.09,100,100,2.44,RU,1683765701
97,bamboo flat,11.7,92.7167,27.31,88,100,8.55,IN,1683765701
98,puerto ayora,-0.7393,-90.3518,25.31,100,47,3.1,EC,1683765701
99,bubaque,11.2833,-15.8333,27.01,74,97,6.44,GW,1683765683
100,nemuro,43.3236,145.575,4.65,86,93,6.49,JP,1683765702
101,ruteng,-8.6136,120.4721,21.01,81,93,1.11,ID,1683765702
102,touros,-5.1989,-35.4608,26.22,77,7,4.82,BR,1683765451
103,acarau,-2.8856,-40.12,25.96,85,30,3.88,BR,1683765702
104,queenstown,-31.8976,26.8753,11.25,44,48,3.09,ZA,1683765665
105,shitanjing,39.2342,106.3439,13.5,32,62,9.23,CN,1683765703
106,atafu village,-8.5421,-172.5159,29.31,76,44,6.59,TK,1683765704
107,puerto natales,-51.7236,-72.4875,3.99,87,100,1.24,CL,1683765704
108,holualoa,19.6228,-155.9522,24.88,72,100,3.6,US,1683765704
109,jacmel,18.2342,-72.5347,28.91,87,7,2.12,HT,1683765704
110,manistee,44.2445,-86.3242,18.97,42,0,2.57,US,1683765705
111,mount isa,-20.7333,139.5,21.87,26,0,4.63,AU,1683765705
112,rongelap,11.1635,166.8941,26.44,88,100,5.56,MH,1683765705
113,usinsk,65.9939,57.5281,-1.38,74,100,1.68,RU,1683765588
114,shiguai,40.7058,110.2856,13.35,32,100,5.94,CN,1683765706
115,port macquarie,-31.4333,152.9167,20.5,63,57,3.47,AU,1683765706
116,shemonaikha,50.6328,81.9056,15.63,65,100,2.78,KZ,1683765706
117,san antonio de pale,-1.4014,5.6325,26.07,88,100,8.76,GQ,1683765706
118,thompson,55.7435,-97.8558,16.09,63,75,8.75,CA,1683765645
119,grand falls-windsor,48.9332,-55.6649,2.5,65,5,0.45,CA,1683765707
120,tralee,52.2704,-9.7026,9.93,95,45,4.27,IE,1683765707
121,hamilton,39.1834,-84.5333,22.43,49,0,3.6,US,1683765084
122,praia da vitoria,38.7333,-27.0667,17.09,94,75,6.53,PT,1683765707
123,bestobe,52.4994,73.0975,15.63,53,79,3.84,KZ,1683765708
124,deqen,29.9618,90.7188,4.5,43,63,1.8,CN,1683765708
125,marianske lazne,49.9646,12.7012,10.48,98,100,0.17,CZ,1683765708
126,jamestown,42.097,-79.2353,14.8,44,0,2.06,US,1683765556
127,franklin,39.9667,-83.0166,22.35,44,0,2.57,US,1683765709
128,palmer,42.1584,-72.3287,18.78,43,40,3.09,US,1683765709
129,bairnsdale,-37.8333,147.6167,14.47,74,0,0.45,AU,1683765709
130,road town,18.4167,-64.6167,28.05,83,40,3.09,VG,1683765525
